theta_deg_center,theta_percent_per_1deg_bin,r_formula_no_bg,r_mean_Itot1_bg,r_p05_Itot1_bg,r_p95_Itot1_bg,r_mean_ItotSin2_bg,r_p05_ItotSin2_bg,r_p95_ItotSin2_bg
7.350000000000001421e+01,1.694900000000000073e+00,9.304878757379035914e-01,7.115224359405962762e-01,7.093263489109143949e-01,7.136481862621301131e-01,6.971318059274477230e-01,6.941327556641763152e-01,7.000345330574134772e-01
7.450000000000000000e+01,1.681799999999999962e+00,9.355979982258407768e-01,7.161867670166364164e-01,7.141338196633094659e-01,7.181935115231665723e-01,7.035001406747832808e-01,7.006975804438351219e-01,7.062393560852134877e-01
7.550000000000001421e+01,1.711300000000000043e+00,9.403774030620452029e-01,7.205493490461520878e-01,7.186287134131792431e-01,7.224342734878048677e-01,7.094542664190670589e-01,7.068333254525859255e-01,7.120262108843253834e-01
7.650000000000000000e+01,1.684099999999999930e+00,9.448281679669845445e-01,7.246342321648477913e-01,7.228384081991940935e-01,7.263747832118326864e-01,7.150272289387031854e-01,7.125775653996249126e-01,7.174012481646064865e-01
7.750000000000000000e+01,1.724699999999999900e+00,9.489522725249710522e-01,7.284400782100760585e-01,7.267611687370095774e-01,7.300498741693450810e-01,7.202174585094509585e-01,7.179281804854432680e-01,7.224122690703727034e-01
7.850000000000000000e+01,1.706800000000000095e+00,9.527515890220888961e-01,7.319157256073641760e-01,7.303899323195326421e-01,7.334060097324762717e-01,7.249555288677312914e-01,7.228758404320163589e-01,7.269866123543350378e-01
7.949999999999998579e+01,1.683000000000000052e+00,9.562278742305637680e-01,7.351241056464516976e-01,7.337131864758543731e-01,7.364792059853187967e-01,7.293275856660947909e-01,7.274051994174416391e-01,7.311737377410637562e-01
8.050000000000000000e+01,1.718800000000000106e+00,9.593827620729675765e-01,7.380386055554638558e-01,7.367723072685334884e-01,7.392698908374571998e-01,7.332977095827929448e-01,7.315729966055780631e-01,7.349745787990147328e-01
8.150000000000000000e+01,1.716900000000000093e+00,9.622177571053766032e-01,7.406566078186633817e-01,7.395260835423118628e-01,7.417521440049732462e-01,7.368627025227760807e-01,7.353234391657196278e-01,7.383541992885581662e-01
8.250000000000001421e+01,1.721600000000000019e+00,9.647342287642091119e-01,7.429796418968387384e-01,7.419836977511692355e-01,7.439496214002324637e-01,7.400250064595452759e-01,7.386694063469145810e-01,7.413451618003485954e-01
8.350000000000000000e+01,1.731300000000000061e+00,9.669334063269762192e-01,7.450231187666400690e-01,7.441530248369963019e-01,7.458538628685552618e-01,7.428059320013612465e-01,7.416219667309318364e-01,7.439362744750243062e-01
8.450000000000001421e+01,1.721999999999999975e+00,9.688163745425485418e-01,7.467733545575220289e-01,7.460329774095799671e-01,7.474716323374612781e-01,7.451871637217383215e-01,7.441799611658878044e-01,7.461370370816382547e-01
8.550000000000000000e+01,1.752599999999999936e+00,9.703840698918281271e-01,7.482264860041912824e-01,7.476189434346477425e-01,7.487931161779541878e-01,7.471637273726758899e-01,7.463374091455761139e-01,7.479343620661231817e-01
8.650000000000000000e+01,1.729400000000000048e+00,9.716372774448515104e-01,7.493867239165987737e-01,7.489118152042375520e-01,7.498272908466474540e-01,7.487415951099941624e-01,7.480957854086823788e-01,7.493406809802767299e-01
8.750000000000000000e+01,1.767800000000000038e+00,9.725766282854243494e-01,7.502573400792242886e-01,7.499148472433003754e-01,7.505713801761519921e-01,7.499254141175382138e-01,7.494597343800210032e-01,7.503523950115114083e-01
8.849999999999998579e+01,1.751700000000000035e+00,9.732025974793412360e-01,7.508397220952329754e-01,7.506265454737567344e-01,7.510195111192038420e-01,7.507172215444193331e-01,7.504273969946072542e-01,7.509616497421299774e-01
8.950000000000000000e+01,1.743900000000000006e+00,9.735155025671371476e-01,7.511321671950479395e-01,7.510488947105037338e-01,7.511800779517848747e-01,7.511148042354597321e-01,7.510015966590808389e-01,7.511799377815009393e-01
